"Day","Hr","Temp","KWH"
2014-12-01,0,51.98,88
2014-12-01,1,51.98,87
2014-12-01,2,51.08,86
2014-12-01,3,51.08,85
2014-12-01,4,51.08,85
2014-12-01,5,51.08,84
2014-12-01,6,50,83
2014-12-01,7,53.06,125
2014-12-01,8,55.94,128
2014-12-01,9,60.08,131
2014-12-01,10,60.08,131
2014-12-01,11,62.06,132
2014-12-01,12,62.96,133
2014-12-01,13,60.98,130
2014-12-01,14,57.92,127
2014-12-01,15,55.04,123
2014-12-01,16,53.06,121
2014-12-01,17,51.08,118
2014-12-01,18,48.92,116
2014-12-01,19,48.02,74
2014-12-01,20,46.94,73
2014-12-01,21,42.98,68
2014-12-01,22,41,66
2014-12-01,23,39.02,64
2014-12-02,0,37.94,75
2014-12-02,1,37.04,74
2014-12-02,2,35.96,72
2014-12-02,3,35.06,71
2014-12-02,4,35.06,70
2014-12-02,5,33.98,69
2014-12-02,6,33.98,68
2014-12-02,7,33.08,107
2014-12-02,8,33.08,106
2014-12-02,9,33.98,107
2014-12-02,10,35.06,107
2014-12-02,11,37.04,109
2014-12-02,12,37.04,108
2014-12-02,13,37.04,108
2014-12-02,14,37.04,107
2014-12-02,15,37.22,107
2014-12-02,16,35.96,105
2014-12-02,17,35.96,105
2014-12-02,18,36.68,105
2014-12-02,19,37.04,65
2014-12-02,20,37.67,65
2014-12-02,21,39.02,66
2014-12-02,22,39.32,66
2014-12-02,23,41,67
2014-12-03,0,42.89,81
2014-12-03,1,43.82,82
2014-12-03,2,44.96,83
2014-12-03,3,44.78,82
2014-12-03,4,45.14,82
2014-12-03,5,45.23,81
2014-12-03,6,37.58,73
2014-12-03,7,37.22,112
2014-12-03,8,37.94,112
2014-12-03,9,39.02,113
2014-12-03,10,40.1,114
2014-12-03,11,44.06,117
2014-12-03,12,46.31,119
2014-12-03,13,50,122
2014-12-03,14,51.08,123
2014-12-03,15,51.44,122
2014-12-03,16,50,120
2014-12-03,17,50,120
2014-12-03,18,50,119
2014-12-03,19,49.46,79
2014-12-03,20,48.02,77
2014-12-03,21,42.98,71
2014-12-03,22,42.08,70
2014-12-03,23,39.92,67
2014-12-04,0,39.02,79
2014-12-04,1,37.94,77
2014-12-04,2,37.94,77
2014-12-04,3,37.04,75
2014-12-04,4,37.04,75
2014-12-04,5,33.98,71
2014-12-04,6,33.98,71
2014-12-04,7,35.06,111
2014-12-04,8,37.94,114
2014-12-04,9,39.92,115
2014-12-04,10,41,116
2014-12-04,11,42.08,116
2014-12-04,12,42.98,117
2014-12-04,13,42.98,116
2014-12-04,14,42.08,115
2014-12-04,15,39.92,112
2014-12-04,16,37.04,109
2014-12-04,17,35.96,107
2014-12-04,18,33.98,105
2014-12-04,19,33.08,64
2014-12-04,20,32,62
2014-12-04,21,30.92,60
2014-12-04,22,30.02,59
2014-12-04,23,30.02,59
2014-12-05,0,28.94,70
2014-12-05,1,28.04,69
2014-12-05,2,28.04,68
2014-12-05,3,26.96,67
2014-12-05,4,26.96,66
2014-12-05,5,26.96,66
2014-12-05,6,26.06,64
2014-12-05,7,26.96,105
2014-12-05,8,30.02,107
2014-12-05,9,32,109
2014-12-05,10,35.96,112
2014-12-05,11,37.94,114
2014-12-05,12,42.08,117
2014-12-05,13,42.08,117
2014-12-05,14,41,115
2014-12-05,15,39.92,114
2014-12-05,16,39.92,113
2014-12-05,17,39.92,113
2014-12-05,18,41,113
2014-12-05,19,41,73
2014-12-05,20,41,72
2014-12-05,21,41,72
2014-12-05,22,39.92,70
2014-12-05,23,39.56,69
2014-12-06,0,39.74,43
2014-12-06,1,40.1,43
2014-12-06,2,42.08,44
2014-12-06,3,42.86,44
2014-12-06,4,44.42,45
2014-12-06,5,44.78,45
2014-12-06,6,44.78,45
2014-12-06,7,44.72,84
2014-12-06,8,41,80
2014-12-06,9,39.14,78
2014-12-06,10,37.94,76
2014-12-06,11,39.02,76
2014-12-06,12,39.02,76
2014-12-06,13,39.56,76
2014-12-06,14,39.92,76
2014-12-06,15,41,76
2014-12-06,16,41,76
2014-12-06,17,41,75
2014-12-06,18,39.02,73
2014-12-06,19,39.02,33
2014-12-06,20,39.02,32
2014-12-06,21,39.02,32
2014-12-06,22,37.94,30
2014-12-06,23,37.94,30
2014-12-07,0,37.22,32
2014-12-07,1,35.78,30
2014-12-07,2,37.22,31
2014-12-07,3,37.22,30
2014-12-07,4,35.96,28
2014-12-07,5,35.06,27
2014-12-07,6,33.89,25
2014-12-07,7,33.98,65
2014-12-07,8,33.98,64
2014-12-07,9,33.98,64
2014-12-07,10,33.98,63
2014-12-07,11,33.98,63
2014-12-07,12,33.98,62
2014-12-07,13,35.96,64
2014-12-07,14,37.04,64
2014-12-07,15,35.96,63
2014-12-07,16,32,58
2014-12-07,17,30.02,56
2014-12-07,18,28.04,53
2014-12-07,19,26.06,11
2014-12-07,20,24.08,9
2014-12-07,21,23,7
2014-12-07,22,21.92,6
2014-12-07,23,21.02,4
2014-12-08,0,19.67,55
