"Date","hour","Temperature","kWh"
2016-05-25,15,71,228
2016-05-25,16,73,228
2016-05-25,17,77,229
2016-05-25,18,83,229
2016-05-25,19,81,121
2016-05-25,20,79,121
2016-05-25,21,77,122
2016-05-25,22,74,122
2016-05-25,23,73,122
2016-05-26,0,72,119
2016-05-26,1,71,119
2016-05-26,2,70,120
2016-05-26,3,68,120
2016-05-26,4,67,120
2016-05-26,5,66,120
2016-05-26,6,66,121
2016-05-26,7,68,230
2016-05-26,8,71,230
2016-05-26,9,73,231
2016-05-26,10,73,231
2016-05-26,11,73,231
2016-05-26,12,75,232
2016-05-26,13,75,232
2016-05-26,14,76,232
2016-05-26,15,76,233
2016-05-26,16,75,233
2016-05-26,17,74,233
2016-05-26,18,74,233
2016-05-26,19,72,125
2016-05-26,20,70,125
2016-05-26,21,69,125
2016-05-26,22,67,126
2016-05-26,23,66,126
2016-05-27,0,65,123
2016-05-27,1,64,123
2016-05-27,2,63,124
2016-05-27,3,62,124
2016-05-27,4,62,124
2016-05-27,5,61,125
2016-05-27,6,61,125
2016-05-27,7,64,234
2016-05-27,8,66,234
2016-05-27,9,69,235
2016-05-27,10,71,235
2016-05-27,11,73,236
2016-05-27,12,74,236
2016-05-27,13,76,236
2016-05-27,14,77,237
2016-05-27,15,77,237
2016-05-27,16,77,237
2016-05-27,17,77,238
2016-05-27,18,77,238
2016-05-27,19,75,130
2016-05-27,20,73,130
2016-05-27,21,71,130
2016-05-27,22,69,130
2016-05-27,23,68,131
2016-05-28,0,67,57
2016-05-28,1,67,58
2016-05-28,2,66,58
2016-05-28,3,65,58
2016-05-28,4,63,58
2016-05-28,5,63,59
2016-05-28,6,64,59
2016-05-28,7,67,168
2016-05-28,8,71,168
2016-05-28,9,75,169
2016-05-28,10,77,169
2016-05-28,11,80,170
2016-05-28,12,81,170
2016-05-28,13,82,171
2016-05-28,14,81,171
2016-05-28,15,82,171
2016-05-28,16,81,172
2016-05-28,17,79,172
2016-05-28,18,77,172
2016-05-28,19,73,63
2016-05-28,20,70,64
2016-05-28,21,75,64
2016-05-28,22,74,64
2016-05-28,23,73,65
2016-05-29,0,71,28
2016-05-29,1,71,28
2016-05-29,2,70,28
2016-05-29,3,69,28
2016-05-29,4,67,29
2016-05-29,5,66,29
2016-05-29,6,65,29
2016-05-29,7,66,138
2016-05-29,8,67,138
2016-05-29,9,67,139
2016-05-29,10,67,139
2016-05-29,11,66,139
2016-05-29,12,66,140
2016-05-29,13,66,140
2016-05-29,14,65,140
2016-05-29,15,66,141
2016-05-29,16,65,141
2016-05-29,17,64,141
2016-05-29,18,64,141
2016-05-29,19,63,33
2016-05-29,20,62,33
2016-05-29,21,61,34
2016-05-29,22,60,34
2016-05-29,23,60,34
2016-05-30,0,60,102
2016-05-30,1,59,102
2016-05-30,2,59,103
2016-05-30,3,59,103
2016-05-30,4,59,103
2016-05-30,5,59,104
2016-05-30,6,59,104
2016-05-30,7,61,213
2016-05-30,8,64,213
2016-05-30,9,66,214
2016-05-30,10,66,214
2016-05-30,11,67,214
2016-05-30,12,68,215
2016-05-30,13,69,215
2016-05-30,14,71,216
2016-05-30,15,72,216
2016-05-30,16,72,216
2016-05-30,17,72,217
2016-05-30,18,72,217
2016-05-30,19,70,109
2016-05-30,20,70,109
2016-05-30,21,68,109
2016-05-30,22,67,109
2016-05-30,23,66,110
2016-05-31,0,66,107
2016-05-31,1,65,107
2016-05-31,2,65,107
2016-05-31,3,64,108
2016-05-31,4,64,108
2016-05-31,5,64,108
2016-05-31,6,64,109
2016-05-31,7,66,218
2016-05-31,8,69,218
2016-05-31,9,71,219
2016-05-31,10,71,219
2016-05-31,11,72,219
2016-05-31,12,74,220
2016-05-31,13,75,220
2016-05-31,14,76,220
2016-05-31,15,76,221
2016-05-31,16,78,221
2016-05-31,17,78,221
2016-05-31,18,76,222
2016-05-31,19,74,113
2016-05-31,20,72,113
2016-05-31,21,70,114
2016-05-31,22,70,114
2016-05-31,23,69,114
